PLAYER_ID,Name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1629634,Brandon Clarke,2024-25,1610612763,MEM,28.0,64,1206.8616666666667,236,380,0.621,1,17,0.059,61,87,0.701,127,199,326,66,52,36,41,145,534
1627742,Brandon Ingram,2024-25,1610612761,TOR,27.0,18,595.0316666666666,155,333,0.465,43,115,0.374,47,55,0.855,17,83,100,93,16,11,69,45,400
1641706,Brandon Miller,2024-25,1610612766,CHA,22.0,27,923.565,198,491,0.403,104,293,0.355,68,79,0.861,25,106,131,98,29,20,76,74,568
1630314,Brandon Williams,2024-25,1610612742,DAL,25.0,31,457.86333333333334,91,178,0.511,22,58,0.379,54,63,0.857,11,42,53,73,23,3,35,29,258
1641729,Brice Sensabaugh,2024-25,1610612762,UTA,21.0,67,1295.66,248,541,0.458,137,329,0.416,55,62,0.887,38,152,190,95,41,6,97,100,688
1642355,Bronny James,2024-25,1610612747,LAL,20.0,23,134.72666666666666,17,52,0.327,7,28,0.25,11,14,0.786,3,10,13,14,5,3,10,11,52
201572,Brook Lopez,2024-25,1610612749,MIL,37.0,75,2405.8033333333333,369,722,0.511,132,351,0.376,106,130,0.815,107,267,374,137,50,139,79,164,976
1628971,Bruce Brown,2024-25,1610612740,NOP,28.0,38,843.1466666666666,119,281,0.423,26,78,0.333,50,60,0.833,38,113,151,73,34,9,38,67,314
1628981,Bruno Fernando,2024-25,1610612761,TOR,26.0,17,146.58,26,49,0.531,0,0,0.0,6,8,0.75,21,30,51,18,4,9,14,27,58
1631121,Bryce McGowens,2024-25,1610612757,POR,22.0,13,32.016666666666666,4,14,0.286,0,4,0.0,5,6,0.833,2,1,3,2,1,0,4,3,13
1642267,Bub Carrington,2024-25,1610612764,WAS,19.0,77,2271.3233333333333,272,674,0.404,128,372,0.344,63,76,0.829,32,286,318,328,53,18,129,178,735
1627741,Buddy Hield,2024-25,1610612744,GSW,32.0,76,1735.1166666666666,303,724,0.419,185,503,0.368,53,64,0.828,46,201,247,130,68,21,89,121,844
